geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25489232 6677636)",Nuotiopuiston leikkipaikka,"Nuotiotie 6, 02600 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/nuotiopuiston-leikkipaikka"" target=""_palvelu"">Nuotiopuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/nuotiopuisto-playground"" target=""_palvelu"">Nuotiopuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25486537 6681318)",Kuttulammen leikkipaikka,"Laaksolahdentie 9 F, 02730 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/kuttulammen-leikkipaikka"" target=""_palvelu"">Kuttulammen leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/kuttulampi-playground"" target=""_palvelu"">Kuttulampi playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25488590 6683779)",Leikkipaikka Kesanto,"Kesantokuja 16, 01630 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Kesanto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Kesanto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25490090 6673761)",Otsolahdenpuiston leikkipaikka,"Itäranta 32, 02110 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/otsolahdenpuiston-leikkipaikka"" target=""_palvelu"">Otsolahdenpuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/otsolahti-playground"" target=""_palvelu"">Otsolahti playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501115 6688381)",Leikkipaikka Simonkallionpuisto,"Simonkalliontie 14, 01300 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Simonkallionpuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Simonkallionpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25487590 6678820)",Kilonkallion leikkipaikka,"Kuninkaistenportti 22, 02610 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/kilonkallion-leikkipaikka"" target=""_palvelu"">Kilonkallion leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/kilokallio-playground"" target=""_palvelu"">Kilokallio playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25500001 6674704)",Leikkipaikka Juliuksenpuisto,"Marsalkantie 1, 00570 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Juliuksenpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25488311 6683806)",Leikkipaikka Aitapuisto,"Ainontie 21b, 01630 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Aitapuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Aitapuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492629 6681612)",Leikkipaikka Von Glanin puisto,"Kartanonkaari 24, 00410 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Von Glanin puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Von Glanin puisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25503287 6680133)",Leikkipaikka Paukkulanpuisto,"Nallitie 6, 00940 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Paukkulanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
