geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25496953 6671647)",Leikkipaikka Kapteeninpuistikko,"Kapteeninkatu 20, 00140 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kapteeninpuistikko</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502741 6678620)",Leikkipaikka Hallainvuori,"Myllärintie 6, 00920 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Hallainvuori</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25488929 6678129)",Säterinkentän leikkipaikka,"Säterinpuistontie, 02600 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/saterinkentan-leikkipaikka"" target=""_palvelu"">Säterinkentän leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/saterinkentta-playground"" target=""_palvelu"">Säterinkenttä playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25481563 6669330)",Alakartanonkujan leikkipaikka,"Alakartanonkuja 4, 02360 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/alakartanonkujan-leikkipaikka"" target=""_palvelu"">Alakartanonkujan leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/alakartanonkuja-playground"" target=""_palvelu"">Alakartanonkuja playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25495459 6672147)",Leikkipaikka Ruoholahdenpuisto,"Santakuja 3, 00180 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Ruoholahdenpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25495166 6674820)",Leikkipaikka Kirjailijanpuisto,"Tavaststjernankatu 9, 00250 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kirjailijanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25505690 6684595)",Leikkipaikka Hepopuisto,"Heporinne 3, 01200 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Hepopuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Hepopuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492457 6681276)",Leikkipaikka Pakarituvanpuisto,"Pakarituvantie 4, 00410 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Pakarituvanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Pakarituvanpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25481605 6677491)",Kirkkojärvenrannan leikkipaikka,"Kylätorintie 7, 02770 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/kirkkojarvenrannan-leikkipaikka"" target=""_palvelu"">Kirkkojärvenrannan leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/kirkkojarvenranta-playground"" target=""_palvelu"">Kirkkojärvenranta playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25490237 6677725)",Everstinpuiston leikkipaikka,"Everstinkatu 3, 02600 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/everstinpuiston-leikkipaikka"" target=""_palvelu"">Everstinpuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/everstinpuisto-playground"" target=""_palvelu"">Everstinpuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25503383 6675521)",Leikkipaikka Vanhanväylän puisto,"Väylänrinne 3, 00830 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Vanhanväylän puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25496044 6672604)",Leikkipaikka Lastenlehto,"Ruoholahdenkatu 4, 00180 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Lastenlehto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25494368 6678365)",Leikkipaikka Artturi Kanniston puisto,"Artturi Kanniston tie 2, 00320 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Artturi Kanniston puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25493603 6672214)",Leikkipaikka Kotkavuori,"Koillisväylä 12, 00200 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kotkavuori</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502355 6672318)",Leikkipaikka Suomensuonpuisto,"Suomensuonpolku 8, 00870 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Suomensuonpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25507017 6679531)",Leikkipaikka Tankovainio,"Fallpakankuja 15, 00970 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Tankovainio</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25491114 6689673)",Leikkipaikka Paasipuisto,"Marmorikuja 1, 01700 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Paasipuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Paasipuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25510567 6684146)",Leikkipaikka Karhuneva,"Karhunevantie 2, 00890 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Karhuneva</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502868 6676240)",Leikkipaikka Tuhkimo,"Tuhkimontie 10, 00820 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Tuhkimo</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25483020 6670648)",Iivisniemenpuiston leikkipaikka 1 ja 2,"Iivisniemenaukio 2 A, 02260 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/iivisniemenpuiston-leikkipaikka-1-ja-2"" target=""_palvelu"">Iivisniemenpuiston leikkipaikka 1 ja 2</a>","<a href=""https://www.espoo.fi/en/units/iivisniemenpuisto-playground-1-and-2"" target=""_palvelu"">Iivisniemenpuisto playground 1 and 2</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25500247 6689477)",Leikkipaikka Harjupuisto,"Harjutie 19, 01390 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Harjupuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Harjupuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25495382 6673464)",Leikkipaikka Hietakannas,"Väinämöisenkatu 25, 00100 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Hietakannas</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25491954 6682599)",Leikkipaikka Kilterinmäki,"Kilterinrinne 9, 01600 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Kilterinmäki</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Kilterinmäki</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492096 6690311)",Leikkipaikka Kenraalinpuisto,"Huovintie 21, 01700 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Kenraalinpuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Kenraalinpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25482120 6676119)",Hösmärinniityn leikkipaikka,"Hösmärinahde 3, 02760 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/hosmarinniityn-leikkipaikka"" target=""_palvelu"">Hösmärinniityn leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/hosmarinniitty-playground"" target=""_palvelu"">Hösmärinniitty playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25503679 6679022)",Leikkipaikka Myllynsiipi kirkkopuisto,"Orpaanporras 12, 00920 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Myllynsiipi kirkkopuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25493370 6676422)",Leikkipaikka Kivitorpan puisto,"Kivitorpantie 5, 00330 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kivitorpan puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492914 6678331)",Leikkipaikka Takomopuisto,"Kornetintie 18, 00380 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Takomopuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25505076 6694263)",Leikkipaikka Kontiopuisto,"Kontiotie 17, 01450 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Kontiopuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Kontiopuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25497241 6672017)",Leikkipaikka Tähtitornin Vuori,"Tähtitorninkatu 1, 00130 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Tähtitornin Vuori</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25491853 6679537)",Leikkipaikka Kokkokallio,"Konalantie 5, 00370 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kokkokallio</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25505739 6680883)",Leikkipaikka Varhelanpuisto,"Varhelantie 2, 00970 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Varhelanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25504295 6676472)",Leikkipaikka Oskarinpuisto,"Oskarintie 12, 00930 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Oskarinpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25482418 6677204)",Kuloniityn leikkipaikka,"Kulomäenraitti 1, 02760 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/kuloniityn-leikkipaikka"" target=""_palvelu"">Kuloniityn leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/kuloniitty-playground"" target=""_palvelu"">Kuloniitty playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25504602 6672541)",Leikkipaikka Poikkilaakso,"Puuskaniementie 21, 00850 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Poikkilaakso</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Poikkilaakso</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25485745 6670946)",Nuottamiehenpuiston leikkipaikka,"Tiinanpolku 2, 02230 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/nuottamiehenpuiston-leikkipaikka"" target=""_palvelu"">Nuottamiehenpuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/nuottamiehenpuisto-playground"" target=""_palvelu"">Nuottamiehenpuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502194 6686336)",Leikkipaikka Åvik/Tikkurilanranta,"Tikkurilantie 40, 01300 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Åvik/Tikkurilanranta</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Åvik/Tikkurilanranta</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501773 6676759)",Leikkipaikka Väinön lehto,"Hiihtomäentie 36, 00800 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Väinön lehto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25496405 6673774)",Leikkipaikka Töölönlahden puisto,"Töölönlahden puisto,  Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Töölönlahden puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25497280 6674939)",Leikkipaikka Kaarlenpuisto,"Kaarlenkatu 17, 00510 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kaarlenpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Kaarlenpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25500235 6684107)",Leikkipaikka Rikun puisto,"Yrttimaantie 50, 00730 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Rikun puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25487661 6672102)",Pattistenpellon leikkipaikka,"Haukilahdenkatu 4, 02200 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/pattistenpellon-leikkipaikka"" target=""_palvelu"">Pattistenpellon leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/pattistenpelto-playground"" target=""_palvelu"">Pattistenpelto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492210 6678573)",Leikkipaikka Patterimäki,"Pajamäentie 1, 00360 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Patterimäki</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501973 6685700)",Leikkipaikka Härkävaljakon puisto,"Härkävaljakontie 16, 00750 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Härkävaljakon puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25485230 6674858)",Lillhemtinpuiston leikkipaikka,"Vanha Lillhemtintie 6, 02250 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/lillhemtinpuiston-leikkipaikka"" target=""_palvelu"">Lillhemtinpuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/lillhemtinpuisto-playground-0"" target=""_palvelu"">Lillhemtinpuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25484083 6672768)",Palokaivonkentän leikkipaikka,"Friisinniityntie 25, 02240 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/palokaivonkentan-leikkipaikka"" target=""_palvelu"">Palokaivonkentän leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/palokaivonkentta-playground"" target=""_palvelu"">Palokaivonkenttä playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25503299 6684502)",Leikkipaikka Nummisuutarinpuisto,"Nikonkuja 1, 00760 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Nummisuutarinpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25504060 6676915)",Leikkipaikka Rakettipuisto,"Ilotulitustie 12, 00930 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Rakettipuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25496907 6672078)",Leikkipaikka Johanneksen puisto,"Johanneksentie 4, 00120 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Johanneksen puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25504749 6680241)",Kontulan asukaspuisto,"Naapurintie 14, 00940 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Kontulan asukaspuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25503211 6675959)",Leikkipaikka Satumaanpuisto,"Keijukaistenpolku 12, 00820 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Satumaanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25484432 6679934)",Viputien leikkipaikka,"Viputie 6, 02940 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/viputien-leikkipaikka"" target=""_palvelu"">Viputien leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/viputie-playground"" target=""_palvelu"">Viputie playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25505070 6683689)",Leikkipaikka Talkookenttä,"Harjunreuna 16, 01230 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Talkookenttä</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Talkookenttä</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25494419 6682383)",Leikkipaikka Serkustenpuisto,"Sisarustentie 2, 00430 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Serkustenpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Serkustenpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25499106 6680106)",Oulunkylän siirtolapuutarha / Leikkipaikka,"Myllypellontie 6, 00650 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Oulunkylän siirtolapuutarha / Leikkipaikka</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25508333 6678502)",Leikkipaikka Marielundinpuisto,"Marielundin puistotie 2, 00960 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Marielundinpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25501574 6679155)",Leikkipaikka Viikinojanpuisto,"Mahlakuja 8, 00790 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Viikinojanpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25494161 6676332)",Leikkipaikka Pikku-Huopalahden puisto,"Taavetinkuja 11, 00300 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Pikku-Huopalahden puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25505994 6681226)",Leikkipaikka Heittopaikka,"Keihäspolku 4, 01280 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Heittopaikka</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Heittopaikka</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
